55eb5113,איזה אחוז מהשכר ניתן לעקל עבור מזונות?,במקרים של תביעת מזונות איזה חלק מהשכר ניתו לעקל מהנתבע?,TRUE,"במקרה שמדובר בתיק מזונות המגיעים מהחייב, ניתן לעקל את כל השכר."
4dbe62b3,איך מסירים את המידע עלי שנמצא בידי מפלגות פוליטיות?,מהו תהליך הגשת בקשה להסרת מידע על אזרח שנמצא בידי מפלגת בחירות?,TRUE,"הסרה ממאגר המידע שנמצא בידי המפלגות
אדם שאינו מעוניין לקבל הודעות מטעם המפלגות, יכול לפנות בכתב אל המפלגה או הסיעה ששלחה את ההודעה בדרישה למחוק מהמאגר שברשותה את המידע המתייחס אליו.
המען למשלוח הדרישה חייב להופיע בהודעות ששולחות המפלגות.
המפלגה חייבת להסיר את המידע המתייחס לאותו אדם ולהודיע לו בכתב שעשתה זאת.
אם לא התקבלה הודעה על הסרת המידע בתוך 30 ימים ממועד קבלת הבקשה, ניתן להגיש תביעה בבית משפט השלום, שיורה למפלגה למחוק את המידע.
כמו כן, ניתן לפנות בתלונה אל הרשות להגנת הפרטיות, כמפורט בהמשך."
fa29ee35,אילו מענקים מגיעים לניצולי שואה?,לאיזה מענקים זכאים שורדי שואה?,FALSE,"
ניצולי שואה יוצאי לטביה, העומדים בתנאי הזכאות, זכאים למענק סיוע כספי המשולם ע""י הקרן להשבת רכוש יהודי בלטביה"
9f99265b,עד איזה גובה הכנסה אפשר לקבל סיוע משפטי חינם?,מהי ההכנסה המקסמלית שאיתה ניתן לקבל ייעוץ משפטי מסובסד?,TRUE,"אם מדובר ביחידים או במשפחה של עד 3 נפשות (כולל בני זוג ידועים בציבור) - הכנסת כל בני המשפחה (ברוטו) לא תעלה על 8,399 ₪ (נכון ל-2024)."
21fe8a17,לאחר כמה שנות קבע זכאי אזרח לפטור ממרכז למשרות בשירות המדינה?,כמה זמן אדם צריך לשרת בקבע בשביל להתקבל ללא מכרז למשרה בשירות המדינה?,TRUE,"אדם ששירת בצה""ל בשירות קבע במשך 7 שנים ברציפות, זכאי בתנאים מסוימים, לפטור ממכרז פומבי במסגרת הליכי מיון וגיוס למשרות ייעודיות בשירות המדינה."
060e9381,האם אחים שכולים זכאים לתשלום מהמדינה?,"אחים של חללי צה""ל זכאים לכסף ממשרד הביטחון?",TRUE,"אחים ואחיות שכולים ללא הורים
מי ששכלו אח/ות זכאים לתגמול בסך 5,862.74 ₪ אם מתקיימים כל התנאים הבאים:
טרם מלאו להם 18.
הם התייתמו משני הוריהם.
הכנסתם נמוכה מ-5,880.02 ₪ בחודש.
אין להם אח או אחות אחר/ת בגיל 18 ומעלה שמסוגל/ת להשתכר 5,880.02 ₪ לפחות.
אם הם התייתמו מהוריהם לפני מות האח/ות - האח/ות דאג/ה למחסורם אחרי פטירת ההורים.
התגמול ישולם לאפוטרופוס של האחים או לאדם אחר שמונה כנציגם, או למי שמספקים להם כלכלה ולינה או טיפול/השגחה מיוחדים."
52f57e60,הורים בעלי דירה זכאים לדיור ציבורי?,זוגות עם ילדים שיש ברשותם דירה זכאים לדיור ציבורי?,TRUE,"מי זכאי?
בני זוג נשואים או ידועים בציבור שעונים על 4 התנאים:
הם חסרי דירה."
9537eaf3,כמה אחוזי נכות צריך בשביל לקבל פטור מתור?,איזה אחוז נכות מקנה זכות לפטור מהמתנה בתורים?,TRUE,"מי זכאי?
אנשים עם מוגבלות שכלית בעלי תעודת נכה שרשום עליה ""פטור מהמתנה בתור"".
זכאים לתעודה זו:
ילדים בעלי תעודת נכה מהמוסד לביטוח לאומי.
בעלי תעודת נכה מהמוסד לביטוח לאומי שנקבעה להם נכות רפואית בשיעור 40% ומעלה."
2d93ef34,מלווה של אדם עם מוגבלות צריך לשלם בכניסה לקולנוע?,מלווה של נכה עם מוגבלות שכלית אמור לשלם על כרטיס בבית קולנוע?,TRUE,"בכניסה למוזיאון, לגן חיות או לבריכת שחייה המלווה יהיה פטור מהתשלום (כי לא צריכים להקצות עבורו מקום ספציפי).
באולם קולנוע לא יינתן פטור מהתשלום למלווה כי הוא צריך כיסא בנפרד."
7346cbf4,מהו יפוי כוח מתמשך?,יפוי כוח מתמשך משמעות,FALSE,"ייפוי כוח מתמשך נועד לאפשר לאדם לקבוע מראש כיצד ועל ידי מי יטופלו ענייניו, כאשר הוא לא יוכל לקבל עוד החלטות בעצמו.

ייפוי הכוח יכול להיערך על ידי כל אדם מעל גיל 18, שמבין את משמעות ייפוי הכוח המתמשך ואת תוצאותיו.
ייפוי הכוח קובע מי יהיה מיופה הכוח וכיצד עליו לפעול בנושאים שונים. למידע מפורט על סמכויות מיופה הכוח והתנאים שחלים עליו ראו מיופה כוח לייפוי כוח מתמשך.
ייפוי כוח מתמשך יכול להיות בעניינים אישיים (כולל רפואיים) ובענייני רכוש, בכולם או בחלקם. כניסתו לתוקף של ייפוי הכוח רלוונטית רק לתחומים שצוינו בו במפורש:
ייפוי כוח מתמשך בעניינים אישיים מתייחס לרווחתו האישית של האדם, לצרכיו היומיומיים, למקום מגוריו, לבריאותו, לענייניו הגופניים, הנפשיים או החברתיים.
אם רוצים, ניתן לערוך ייפוי כוח מתמשך שמתייחס לעניינים הבריאותיים בלבד. למידע נוסף ראו ייפוי כוח לטיפול רפואי.
ייפוי כוח מתמשך בענייני רכוש מתייחס לטיפול בכלל נכסיו, כספיו והתחייבויותיו של האדם.
יפוי הכוח יכול לקבוע הנחיות ברורות בנושאים מסוימים, או להשאיר למיופה הכוח את שיקול דעת לפעול כראות עיניו."
20d6174b,עולים חדשים זכאים לסבסוד מעונות?,האם עולים חדשים מקבלים השתתפות בתשלום מעונות לילדים?,TRUE,"מי זכאי?
הסיוע ניתן לאוכלוסיות הבאות (תנאי הזכאות של כל אוכלוסייה מפורטים בכל אחד מהערכים). כדי להיות זכאים לסיוע במימון שכר הלימוד שני ההורים צריכים להשתייך לאחת האוכלוסיות:
הורים עובדים
הורים לומדים
הורים שהם עולים חדשים
הורים שהם תושבים חוזרים
הורים שמקבלים דמי אבטלה
הורים שהם חיילים בשירות חובה
הורים שהם מתנדבים בשירות לאומי-אזרחי
הורים שמקבלים קצבת נכות
הורים שמקבלים הבטחת הכנסה"
3ed0023f,מי מההורים הגרושים זכאי לפרטי ההיסטוריה הרפואית של הילד?,במקרה של הורים גרושים מי זכאי לפרטי קופת החולים של הילד?,TRUE,"קופות החולים צריכות לאפשר לשני ההורים גישה למידע אודות ילדם הכלול באתר האינטרנט של הקופה, לרבות על-ידי מתן סיסמת גישה לכל אחד מההורים.

החובה חלה על קופות החולים בלי קשר לשאלה אם ההורים נשואים, גרושים או בנפרד.
אין חובה לאפשר להורה שהאפוטרופסות שלו על הילד נשללה, גישה למידע רפואי של ילדו."
f4e053e2,באיזה שפות ניתן לקבל קורס פסיכומטרי בחינם?,,TRUE,"תקציר
מערך הדיגיטל הלאומי, בשיתוף המרכז הארצי לבחינות ולהערכה, מציע קורס הכנה מקוון לבחינה הפסיכומטרית בחינם או בתשלום סמלי.

הקורס כולל מסלול בסיסי בחינם, ומסלול מתוגבר בעלות של 720 ש""ח (נכון לאוגוסט 2024).
הקורס ניתן בשפה העברית ובשפה הערבית."
4288234b,כמה מקבלים ניצולי שואה מבולגריה?,מהו סכום המענק שמגיע ליהודים שחיו בבולגריה בתקופת מלחמת העולם השניה?,TRUE,"התשלום הינו בסך של 2,556 אירו (כ-13,000 ₪)."
4f678649,הורים שכולים זכאים להלוואה מהמדינה?,"האם הורים לחללי צה""ל זכאים להלוואה ללא ריבית?",TRUE,"תקציר
הורים של חללי צה""ל וכוחות הביטחון זכאים לקבל הלוואות לרגל בר/בת המצווה והנישואין של ילדיהם (האחים והאחיות השכולים)."
7d3118e5,צריך אישור מההורים כשאוספים מידע על תלמידים לצורכי מחקר?,איסוף מידע על תלמידים במחקר אישור הורים,TRUE,"איסוף מידע אודות תלמידים לצורך מחקר
באיסוף מידע המחייב את ציון זהותם של תלמידים נדרשת הסכמת התלמידים בעל-פה והסכמת ההורים מראש ובכתב."
4c43eb4e,כיצד ניתן לבחון זכאות להנחה בארנונה למשרתי מילואים?,בדיקת זכאות מפקדי מילואים להנחה בארנונה,TRUE,"הנחה בארנונה
מפקדים במילואים עשויים להיות זכאים להנחה בשיעור של עד 25% מתשלום הארנונה שהם משלמים על דירתם.
ההנחה היא על 100 מ""ר מהנכס.
הנחה זו היא הנחת רשות - הרשות המקומית רשאית שלא להעניק אותה או לקבוע ולפרסם כללים מסוימים לגביה.
כדי לבדוק את הזכאות יש לפנות לרשות המקומית.
למידע נוסף ראו הנחה בארנונה למפקדים במילואים."
1bcbadc0,אישה בת 62 זכאית להנחת בארנונה עבור בית העסק שלה?,האם נשים בגדיל 62 זכאיות להנחת מיסי ארנונה עבור בית עסק?,TRUE,"מי זכאי?
מחזיק בנכס שמתקיימים לגביו כל התנאים הבאים:
הוא בעל העסק ואין בבעלותו עסק נוסף.
עבור בעל עסק שהוא גבר - גילו 65 שנים לפחות ועבור בעלת עסק שהיא אישה - גילה 60 שנים לפחות.
שטח העסק אינו עולה על 75 מ""ר.
הוא עוסק שמחזור העסקאות שלו בכל עסקיו אינו עולה על 240,000 ₪.
הוא זכאי להנחה בארנונה הניתנת לבעלי הכנסה נמוכה בעד דירת המגורים שהוא מחזיק בה."
46583d16,עיוורים זכאים לסיוע בשכר דירה?,יש הנחה בשכר דירה לעיוורים?,FALSE,"עיוורים ולקויי ראייה עשויים להיות זכאים לקבלת סיוע בשכר דירה, על-פי הקריטריונים של משרד הבינוי והשיכון.

לפרטים נוספים לגבי תנאי הסיוע, ראו קבלת סיוע בשכר דירה."
371d0cb5,חיילים יכולים להבציע הקלפי אזרחי?,האם משרתי חובה יכולים להצביע לבחירות הארציות בקלפי אזרחי?,TRUE,"חייל שהצביע בקלפי אזרחית, אינו רשאי להצביע גם בקלפיות המיוחדות לחיילים."
